,date,PriceUSD,AdrActCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1MCnt,CapMrktCurUSD,CapRealUSD,DiffLast,DiffMean,FeeMedUSD,FeeTotUSD,FlowInExUSD,FlowOutExUSD,GasUsedTx,GasUsedTxMean,HashRate,RevHashNtv,RevHashRateNtv,RevHashRateUSD,SplyAdrBalUSD1M,TxCnt,TxTfrValMedUSD
616,2017-04-06,43.2308226411455,41331,107770,250049,56435,161291,22704,3911303985.188976,2216562814.3657064,246055765417459,248619327505941.0,0.0181569455092811,3172.650539987993,16403859.06848584,23518785.324184176,3183645283,33449.7334755245,16.9239046651702,0.021062255108,1819.778841361086,78670.53633699035,60988423.252817,95177,43.702905250002445
617,2017-04-07,42.4313812974869,33358,107862,250545,56003,161406,22783,3840293151.69534,2216531870.7177486,246166616868535,249574617569975.0,0.0210706571081808,3072.8376809624933,12660818.422527617,16766170.617323091,3272867342,35250.493742326,17.1762763243905,0.020988082773,1813.370351610331,76943.80882273582,60810079.48134564,92846,42.598202196444895
618,2017-04-08,44.6247199088253,30344,108480,251749,56294,162366,22852,4040182926.73547,2229279151.7699738,256734201392750,252484807725222.0,0.0188137819135607,2335.0832634118224,12939006.839579904,13423330.43309677,2355623725,32651.6927949656,17.3525560916345,0.020654646055,1784.561419120348,79635.5534883413,61159293.19114189,72144,44.75298630312443
619,2017-04-09,43.9210733267095,29946,109062,252399,56090,162987,22926,3977805277.69995,2233348148.7731056,255351733753819,253175099941209.0,0.0201158515836329,2494.966384355434,9871917.302119773,10226859.472092977,2602180314,34901.8913582896,16.986778714583,0.020645200391,1783.745313806728,78344.00872387974,61055262.640969574,74557,44.01149363725232
620,2017-04-10,43.9867391759205,32259,109582,253413,56405,163746,23022,3985073682.7154894,2239264820.4121842,253234536973505,255973416950689.0,0.0193981519765809,2772.862804773102,9029918.981847027,17894967.634516194,2760816737,36573.4065070807,17.0706271735644,0.020408286297,1763.275936020526,77560.75869291197,60939661.49946932,75487,44.13211034235618
621,2017-04-11,43.9088074582116,31056,109627,253840,56453,163828,23098,3979350334.123219,2249848895.9737134,262724542381025,261036955773059.0,0.0193637840890713,2586.899342247719,7830300.1558332415,14135865.976725748,2679717515,35310.0830796801,17.6720163617519,0.019981753265,1726.423482054188,75805.19626485258,60599199.37485944,75891,44.04167707576954
622,2017-04-12,46.356845351841,35689,109709,254685,56212,164168,23123,4202610782.127068,2267889162.8744926,258238187475442,260942044851417.0,0.0212926262070076,3740.485605886308,14081476.36835044,12854559.208979163,3182442702,39608.7309047009,17.4612104086012,0.020080617597,1734.96536038157,80427.52090200952,60783281.30837331,80347,46.59459802243925
623,2017-04-13,49.9132952574518,34575,110456,256105,56672,165053,23272,4526545313.51439,2291774458.166772,258809621280379,254806154901493.0,0.0220117632085362,3077.577084824296,18652612.66869296,19552090.004005175,2761853261,32830.741060815,17.0995598666862,0.020579793299,1778.09414104016,88750.53785728267,61415758.841225795,84124,50.243559973361755
624,2017-04-14,47.1097739795441,33338,110441,256239,56217,165333,23267,4273759021.6091514,2294653528.3044195,282342678822931,271575492216009.0,0.0215762764826311,2963.0370747778334,15015410.137768712,27658742.53686067,2852421954,35147.8276631138,18.5759032934606,0.019347910087,1671.659431548594,78751.49799102743,60924840.56586571,81155,47.30262148363171
625,2017-04-15,49.1234506072472,31420,111406,257976,56641,166732,23308,4457911680.854719,2303973236.1414013,269371033433613,272397471548559.0,0.0216742488769296,2839.593410130028,13661962.990035644,18674623.068602853,2598033805,34723.7878241112,18.0464626328514,0.01927632967,1665.474883518115,81813.8731781129,61386278.220786154,74820,49.23251891339597
626,2017-04-16,48.1771319462303,28167,112061,259235,57026,167672,23360,4373503629.223701,2306335209.8681316,274529683922936,272581329412857.0,0.022108485850125,2655.412484836161,4227332.872600939,6078819.3352297675,2501650359,35417.0846759351,18.3650282031935,0.019258722476,1663.953621922915,80164.51319578807,61151810.36732786,70634,48.25504251566218
627,2017-04-17,47.8490843132671,30233,112862,260450,57457,168666,23466,4345190061.551615,2308167899.478055,281244914710104,275532146092830.0,0.0219148806154763,2893.591898487191,6376339.116346339,13804044.353142768,2751457420,37927.0727538389,18.6918231567588,0.019014923714,1642.889408898518,78610.75384375874,61008079.81093984,72546,48.01714223065174
628,2017-04-18,49.8912425108124,34926,113221,261646,57262,169615,23596,4532161748.423027,2319268036.481981,294180063992385,282740029974546.0,0.0229160455100663,3679.218790594447,14098918.86600642,24071256.178541496,3260252456,39137.2754402603,19.1796885566045,0.018461846177,1595.103509708615,79581.69603272052,61180582.064009555,83303,50.18524994777967
629,2017-04-19,48.0668974666862,35182,114184,263517,57820,171006,23699,4367860101.178397,2328896736.6855855,277524262565510,288750952023604.0,0.0222997718734958,3768.275784157656,13145925.894317674,21504306.376434296,3465363718,40419.9467889052,19.1118864569487,0.0179804866,1553.514042238651,74672.60018134244,60893047.97020156,85734,48.279356518171774
